egg;
707;2158
708;2104
709;2059
710;2025
711;2053
712;1974
713;2030
714;2040
715;1995
716;2047
717;2007
718;1988
719;2058
720;1899
721;1897
722;1977
723;1926
724;1991
725;1886
726;1864
727;1924
728;1927
729;1893
730;1854
731;1751
732;1825
733;1840
734;1769
735;1718
736;1727
737;1675
738;1726
739;1759
740;1710
741;1729
742;1729
743;1708
744;1729
745;1647
746;1636
747;1592
748;1661
749;1611
750;1587
751;1609
752;1563
753;1538
754;1543
755;1562
756;1531
757;1517
758;1547
759;1459
760;1558
761;1493
762;1442
763;1449
764;1491
765;1471
766;1439
767;1419
768;1430
769;1445
770;1381
771;1434
772;1432
773;1369
774;1389
775;1356
776;1339
777;1298
778;1324
779;1311
780;1330
781;1309
782;1180
783;1232
784;1255
785;1278
786;1257
787;1218
788;1182
789;1189
790;1224
791;1212
792;1189
793;1131
794;1139
795;1048
796;1051
797;1143
798;1127
799;1097
800;1094
801;1078
802;1083
803;1072
804;1115
805;1035
806;1050
807;1035
808;1060
809;1012
810;985
811;986
812;1020
813;993
814;954
815;914
816;896
817;877
818;936
819;947
820;890
821;885
822;848
823;885
824;856
825;830
826;897
827;836
828;803
829;786
830;809
831;805
832;823
833;811
834;747
835;818
836;736
837;765
838;715
839;780
840;758
841;718
842;717
843;760
844;708
845;696
846;673
847;672
848;698
849;620
850;620
851;595
852;657
853;611
854;570
855;605
856;599
857;639
858;571
859;567
860;624
861;548
862;542
863;535
864;512
865;544
866;531
867;495
868;507
869;503
870;447
871;524
872;485
873;450
874;449
875;389
876;451
877;421
878;403
879;452
880;417
881;371
882;407
883;403
884;354
885;366
886;363
887;339
888;345
889;339
890;343
891;355
892;322
893;319
894;299
895;279
896;279
897;267
898;270
899;264
900;259
901;258
902;227
903;248
904;222
905;221
906;225
907;206
908;202
909;182
910;200
911;185
912;185
913;176
914;161
915;145
916;155
917;145
918;143
919;135
920;130
921;117
922;110
923;111
924;104
925;85
926;69
927;79
928;78
929;67
930;60
931;53
932;55
933;60
934;40
935;47
936;37
937;26
938;33
939;30
940;19
941;20
942;16
943;16
944;14
945;4
946;7
947;9
948;7
949;6
950;7
951;2
952;3
953;3
954;10
955;8
956;8
957;4
958;5
959;5
960;7
961;5
962;2
963;3
964;5
965;3
966;4
967;2
968;5
969;2
970;4
971;5
972;3
973;5
974;9
975;5
976;4
977;6
978;5
979;8
980;5
981;9
982;4
983;9
984;6
985;3
986;7
987;2
988;6
989;6
990;5
991;10
992;6
993;7
994;11
995;5
996;7
997;5
998;11
999;8
1000;6
1001;5
1002;3
1003;5
1004;3
1005;5
1006;6
1007;4
1008;3
1009;3
1010;10
1011;2
1012;12
1013;4
1014;5
1015;3
1016;7
1017;7
1018;5
1019;7
1020;7
1021;2
1022;3
1023;1
1024;1
