Energy_keV;Total_attenuation
1.479264955037143636e+01;1.065470330152815531e-01
1.492297667144532980e+01;9.907915991569583858e-02
1.505330379251922501e+01;1.103809452387995022e-01
1.518363091359312200e+01;1.057301886057078338e-01
1.531395803466701722e+01;9.777727440450875718e-02
1.544428515574091243e+01;1.081099572771830192e-01
1.557461227681480942e+01;1.011449702213716439e-01
1.570493939788870286e+01;9.218345201015755441e-02
1.583526651896259629e+01;8.925101565608216381e-02
1.596559364003649151e+01;9.328787843114361156e-02
1.609592076111038494e+01;1.002497578149897650e-01
1.622624788218428193e+01;9.869662821793068197e-02
1.635657500325817892e+01;9.542943293031878882e-02
1.648690212433207591e+01;1.083891674156294005e-01
1.661722924540596935e+01;1.261717375354266535e-01
1.674755636647986634e+01;1.266979020499896524e-01
1.687788348755375978e+01;1.180912019452636380e-01
1.700821060862765677e+01;1.194388255181597774e-01
1.713853772970155376e+01;1.255815091734269473e-01
1.726886485077544720e+01;1.202656166996602799e-01
1.739919197184934063e+01;1.279308673904060167e-01
1.752951909292323762e+01;1.343814937601441606e-01
1.765984621399713106e+01;1.280949839040005367e-01
1.779017333507102450e+01;1.333704705066303398e-01
1.792050045614492149e+01;1.327946741058747826e-01
1.805082757721881492e+01;1.260903600921740864e-01
1.818115469829271547e+01;1.334712694732951843e-01
1.831148181936661246e+01;1.414669222750419009e-01
1.844180894044050945e+01;1.509371928591598799e-01
1.857213606151440288e+01;1.439310849079780963e-01
1.870246318258829632e+01;1.430541241616150872e-01
1.883279030366219331e+01;1.503080814017195010e-01
1.896311742473609030e+01;1.490670432024363001e-01
1.909344454580998374e+01;1.373789861035057125e-01
1.922377166688387717e+01;1.204314133760252536e-01
1.935409878795777416e+01;1.212881433131612757e-01
1.948442590903166760e+01;1.202085157474900579e-01
1.961475303010556104e+01;1.042481489800814731e-01
1.974508015117945448e+01;1.044318376510435104e-01
1.987540727225335502e+01;1.022815481708630736e-01
2.000573439332725201e+01;9.896686632959880714e-02
2.013606151440114900e+01;9.351289330321196913e-02
2.026638863547504599e+01;9.380227147053285530e-02
2.039671575654894298e+01;9.093172610986589854e-02
2.052704287762283286e+01;9.295522062877234482e-02
2.065736999869672985e+01;9.287515656042365231e-02
2.078769711977062329e+01;9.039418554171463338e-02
2.091802424084451673e+01;9.342430418536494530e-02
2.104835136191841372e+01;8.708581215082121518e-02
2.117867848299230715e+01;9.420383062034444477e-02
2.130900560406620059e+01;9.396745132791986532e-02
2.143933272514009758e+01;8.772801883577899251e-02
2.156965984621399812e+01;9.379111394734879203e-02
2.169998696728789511e+01;9.730295019745656415e-02
2.183031408836179210e+01;1.046227885080273784e-01
2.196064120943568909e+01;9.992971772584152701e-02
2.209096833050958253e+01;1.086226030879057919e-01
2.222129545158347597e+01;1.140624179533667321e-01
2.235162257265736940e+01;1.061946199810930858e-01
2.248194969373126639e+01;1.157692083416619888e-01
2.261227681480515983e+01;1.145338336589882405e-01
2.274260393587905327e+01;1.159756586493131958e-01
2.287293105695294670e+01;1.087721311796616963e-01
2.300325817802684014e+01;1.109864527958261127e-01
2.313358529910074068e+01;1.169049145479919838e-01
2.326391242017463767e+01;1.162417904051656903e-01
2.339423954124853466e+01;1.127765591949495272e-01
2.352456666232243521e+01;1.149689192548843525e-01
2.365489378339632864e+01;1.214993209862368778e-01
2.378522090447022208e+01;1.158233669680657912e-01
2.391554802554411907e+01;1.155089144501652704e-01
2.404587514661801251e+01;1.145232555858704121e-01
2.417620226769190594e+01;1.126770695144963808e-01
2.430652938876579938e+01;1.135344312886253232e-01
2.443685650983969637e+01;1.169459402330905312e-01
2.456718363091358981e+01;1.164248395338643993e-01
2.469751075198748325e+01;1.056518682826577821e-01
2.482783787306138024e+01;1.094752572323180601e-01
2.495816499413528078e+01;1.123134070031283904e-01
2.508849211520917777e+01;1.157504301907518601e-01
2.521881923628307476e+01;1.229520576738355325e-01
2.534914635735696820e+01;1.175917943775297431e-01
2.547947347843086163e+01;1.258145682806902366e-01
2.560980059950475862e+01;1.245431711021459803e-01
2.574012772057865206e+01;1.132350669621854239e-01
2.587045484165254550e+01;1.186658623041409316e-01
2.600078196272644249e+01;1.222767580140338428e-01
2.613110908380033592e+01;1.269846088415378660e-01
2.626143620487422936e+01;1.240356416526198630e-01
2.639176332594812990e+01;1.329776591151577425e-01
2.652209044702202689e+01;1.321552220527238697e-01
2.665241756809592388e+01;1.371672827188870070e-01
2.678274468916982087e+01;1.435893241342454385e-01
2.691307181024371786e+01;1.417921053692416111e-01
2.704339893131761130e+01;1.372119288655109515e-01
2.717372605239150474e+01;1.393376490270413492e-01
2.730405317346539817e+01;1.435280008035221266e-01
2.743438029453929516e+01;1.325684335031238614e-01
2.756470741561318505e+01;1.354992053737380797e-01
2.769503453668708204e+01;1.346166874012409975e-01
2.782536165776097548e+01;1.285543994498916098e-01
2.795568877883486891e+01;1.346714179270300238e-01
2.808601589990876946e+01;1.295240427297498498e-01
2.821634302098266645e+01;1.328431131591920611e-01
2.834667014205656344e+01;1.345141834442962481e-01
2.847699726313046042e+01;1.292527445475353531e-01
2.860732438420435741e+01;1.278534212391070624e-01
2.873765150527825085e+01;1.201172827594095271e-01
2.886797862635214784e+01;1.200519613511816935e-01
2.899830574742604128e+01;1.126862807700830110e-01
2.912863286849993472e+01;1.162198516126072279e-01
2.925895998957382815e+01;1.170437885559074132e-01
2.938928711064772159e+01;1.106161254288310358e-01
2.951961423172161858e+01;1.127306759813997555e-01
2.964994135279551202e+01;1.072910866589614071e-01
2.978026847386940901e+01;1.047235374074061143e-01
2.991059559494330600e+01;1.094067747395687240e-01
3.004092271601720299e+01;1.151925966118487465e-01
3.017124983709110353e+01;1.044702920463837642e-01
3.030157695816499697e+01;9.928322998202634975e-02
3.043190407923889040e+01;9.838236512052225824e-02
3.056223120031278739e+01;9.240686952303629742e-02
3.069255832138668083e+01;1.022559997867168030e-01
3.082288544246057427e+01;9.854094641538524435e-02
3.095321256353446771e+01;1.030837378881324928e-01
3.108353968460836469e+01;1.059249932608347655e-01
3.121386680568225813e+01;1.045758396794800454e-01
3.134419392675615867e+01;1.033475140375558071e-01
3.147452104783005566e+01;9.985648916729497615e-02
3.160484816890395265e+01;1.025858255683644998e-01
3.173517528997784964e+01;9.145996732188554912e-02
3.186550241105174308e+01;9.199227857715201739e-02
3.199582953212563652e+01;9.958017557883661053e-02
3.212615665319952996e+01;9.760368309833429568e-02
3.225648377427342695e+01;1.032780146359830314e-01
3.238681089534732394e+01;1.004143659109858616e-01
3.251713801642122093e+01;9.624575765032884755e-02
3.264746513749511081e+01;1.020099367461094197e-01
3.277779225856900780e+01;1.074020729242766009e-01
3.290811937964289768e+01;1.070816615291262236e-01
3.303844650071680178e+01;1.066180426365796741e-01
3.316877362179069877e+01;1.091274225311265889e-01
3.329910074286459576e+01;1.037361677623481332e-01
3.342942786393849275e+01;1.050497882289248147e-01
3.355975498501238263e+01;1.008605822862845836e-01
3.369008210608627962e+01;9.892982645071689285e-02
3.382040922716017661e+01;9.860527149199196928e-02
3.395073634823407360e+01;9.851461828714089264e-02
3.408106346930797059e+01;9.989382708846547554e-02
3.421139059038186758e+01;9.826817949570298971e-02
3.434171771145575747e+01;1.094560465772685398e-01
3.447204483252965446e+01;1.098610656882463288e-01
3.460237195360355145e+01;1.073756376351920894e-01
3.473269907467744133e+01;1.050574869110829923e-01
